name,longitude,latitude,tiploc,station
Morpeth Loop,-1.6716845,55.165580000000006,MRPTLP,False
Morpeth North Jn,-1.6680011000000001,55.16870600000001,MRPTNJN,False
Plessey Crossovers,-1.6318315,55.09887,MRPTPX,False
Morpeth Recp.,-1.6794144,55.162752000000005,MRPTREC,False
Allanton Loop,-3.9979233,55.766927,MRRYTNL,False
Merryton,-3.9776343,55.748751,MRRYTON,True
Moorside,-2.3527049,53.516351,MRSD,True
Marske,-1.0199934000000002,54.587398,MRSK,True
Marseille St Charles,-4.2253625,55.879576,MRSLSTC,False
Marsden,-1.9307196,53.603193999999995,MRSN,True
Marston Green,-1.7552401999999998,52.46694399999999,MRSTNGR,True
Mortlake,-0.26785492,51.468069,MRTLKE,True
Moreton Cutting,-1.2085278,51.599855,MRTNCUT,False
Moreton-on-Lugg (FLHH),-2.7192632999999997,52.119938,MRTNFHH,False
Moreton-On-Lugg (GBRF),-2.7163507,52.114094,MRTNGBF,False
Moreton-on-Lugg,-2.7157607000000006,52.111903999999996,MRTNONL,False
Moreton-on-Lugg (Tarmac),-2.7183184,52.119305,MRTNTAR,False
Morton,-1.3830748,53.141383,MRTO,False
Maryhill,-4.3012787,55.89745799999999,MRYHILL,True
Maryhill Park Jn,-4.303187599999999,55.896739000000004,MRYHPKJ,False
Maryland,0.00569707,51.546019,MRYLAND,True
Maryland East Junction,0.001719459,51.544774,MRYLEJN,False
Maryland West Junction,0.00569707,51.546019,MRYLWJN,False
Mossband,-3.0299843999999996,54.985523,MSBD,False
Musselburgh,-3.0728809,55.933601,MSELBGH,True
Moses Gate,-2.4016892000000003,53.556302,MSGT,True
Moses Gate Loops,-2.4090417,53.559540000000005,MSGTLPS,False
Marsh Brook Level Crossing,-2.8235862000000003,52.503687,MSHBRKX,False
Marshfield,-3.0572041000000003,51.53051,MSHFILD,False
Marsh Mills ECC,,,MSHMLEC,False
Mossley Hill,-2.9146878,53.37817,MSLH,True
Marshall Meadow Zone Bry,,,MSLMWZB,False
Menstrie D.C.L.,-3.8395913,56.149302,MSRYDCL,False
Moss Side,-2.9429659,53.764345,MSSD,True
Mossend Down Yard GBRF,-3.9977122000000005,55.823854000000004,MSSNDET,False
Mosspark,-4.347499900000001,55.840663,MSSPARK,True
Moston,-2.1710675,53.523275,MSTN,True
Maidstone East Signal ME9,0.51359336,51.278065999999995,MSTO9,False
Maidstone Barracks,0.51422551,51.276775,MSTONEB,True
Maidstone East,0.52024164,51.277707,MSTONEE,True
Maidstone West,0.51575019,51.270564,MSTONEW,True
Maidstone West Signal MS57,0.5099123,51.26657,MSTOW57,False
Maidstone West Carriage Sg,0.51573244,51.270501,MSTOWCS,False
Maidstone West Up Sidings,0.51501961,51.268475,MSTOWUS,False
Mount Florida,-4.261148400000001,55.826570999999994,MTFL,True
Methil P.S.,-2.9996221000000003,56.190697,MTHLPS,False
Methil West,-3.0040974,56.188064000000004,MTHLWST,False
Metheringham,-0.39103307,53.138918000000004,MTHRNGH,True
Scopwick,-0.36795449,53.109215,MTHRSCP,False
Mortimer,-1.0355085,51.372149,MTIMER,True
Mitre Bridge Jn,-0.23569569,51.526517,MTRBDGJ,False
Mottram Yard Staff Halt,-1.9891216,53.44283299999999,MTRMYSH,False
Metropolitan Jn,-0.097410149,51.504166999999995,MTRPLTJ,False
Muirend,-4.2738688,55.81006899999999,MUIREND,True
Muizen,4.359196099999999,50.892062,MUIZEN,False
Mulben,-3.0769217999999996,57.543065000000006,MULBEN,False
Mulhouse Ile Napolean Gar,4.3358665,50.834163000000004,MULHING,False
