,,,,,,,,
~@# File opened, Actual 03/06/2018 00:00:05 BST,  Log 03/06/2018 00:00:05 BST,,,,,,
~@#Come from file 20180602,,,,,,,,
735T24M403,LDBRKJ,20180603044900,D,-2,U,R ,20180603045100,44846
735Y23M403,HTRWAPT,20180603045000,T,-4,D,1,20180603045400,44940
735T24M403,ROYAOJN,20180603045000,D,-3,U,  ,20180603045300,45011
735T24M403,PADTON,20180603045200,T,-2,U,8,20180603045400,45048
735T02M403,OLDOEMU,20180603045500,D,9,U,  ,20180603044600,45507
735Y22M403,HTRWAPT,20180603045700,D,-1,D,2,20180603045800,45802
735T02M403,LDBRKJ,20180603045900,D,1,U,R ,20180603045800,45852
735T02M403,ROYAOJN,20180603050000,D,0,U,  ,20180603050000,50026
735Y22M403,HTRWTM5,20180603050200,T,0,D,4,20180603050200,50041
735T02M403,PADTON,20180603050200,T,1,U,14,20180603050100,50116
735T25M403,OLDOEMU,20180603050100,D,7,U,  ,20180603045400,50149
735T25M403,LDBRKJ,20180603050400,D,-2,U,R ,20180603050600,50426
735T25M403,PRTOBJP,20180603050500,D,-2,U,  ,20180603050700,50524
735T25M403,ROYAOJN,20180603050600,D,-2,U,  ,20180603050800,50552
735T25M403,PADTON,20180603050800,T,-1,U,7,20180603050900,50633
735T03M503,OLDOEMU,20180603050700,D,6,U,  ,20180603050100,50728
731T24M503,PADTON,20180603051000,D,0,D,8,20180603051000,51047
735T03M503,LDBRKJ,20180603051100,D,-2,U,R ,20180603051300,51106
731T24M503,ROYAOJN,20180603051100,D,0,D,  ,20180603051100,51151
735T03M503,PRTOBJP,20180603051200,D,-2,U,  ,20180603051400,51204
731T24M503,PRTOBJP,20180603051200,D,0,D,  ,20180603051200,51219
735T03M503,ROYAOJN,20180603051200,D,-3,U,  ,20180603051500,51236
731Y22M503,HTRWTM5,20180603051200,D,0,U,4,20180603051200,51241
732T02M503,PADTON,20180603051200,D,0,D,14,20180603051200,51249
731T24M503,LDBRKJ,20180603051300,D,0,D,  ,20180603051300,51252
732E23M503,HTRWAPT,20180603051200,D,-1,D,1,20180603051300,51308
735T03M503,PADTON,20180603051500,T,-1,U,14,20180603051600,51405
732T02M503,ROYAOJN,20180603051300,D,0,D,  ,20180603051300,51408
732T02M503,PRTOBJP,20180603051400,D,0,D,  ,20180603051400,51437
731Y22M503,HTRWAPT,20180603051500,A,0,U,2,20180603051530,51441
732E23M503,HTRWTM5,20180603051600,T,-1,D,4,20180603051700,51505
732T02M503,LDBRKJ,20180603051500,D,0,D,  ,20180603051500,51510
731T24M503,ACTONW,20180603051600,D,0,D,  ,20180603051600,51551
731Y22M503,HTRWAPT,20180603051700,D,0,U,2,20180603051730,51722
732T02M503,ACTONW,20180603051800,D,0,D,  ,20180603051800,51806
731T24M503,STHALL,20180603051900,A,0, ,  ,20180603051900,51838
735T26M503,OLDOEMU,20180603051900,D,10,U,  ,20180603050900,51905
732T02M503,EALINGB,20180603051900,A,0,D,3,20180603051900,51905
731T24M503,STHALL,20180603051800,D,-1,D,3,20180603051900,51915
731Y22M503,HTRWTJN,20180603052000,D,0,U,  ,20180603052030,52001
731T24M503,HAYESAH,20180603052000,A,0, ,  ,0,52030
731T24M503,HAYESAH,20180603052000,D,0, ,  ,0,52102
731T24M503,HTRWAJN,20180603052100,D,1,D,  ,20180603052030,52102
732T02M503,EALINGB,20180603052100,D,1,D,  ,20180603052000,52141
731Y22M503,HTRWAJN,20180603052200,D,1,U,  ,20180603052130,52141
731T24M503,HTRWTJN,20180603052200,D,0,D,  ,20180603052230,52226
735T26M503,LDBRKJ,20180603052200,D,1,U,R ,20180603052100,52241
731Y22M503,STHALL,20180603052400,A,1, ,  ,20180603052300,52333
735T26M503,PRTOBJP,20180603052300,D,1,U,  ,20180603052200,52350
732T02M503,STHALL,20180603052500,A,2,D,3,20180603052330,52353
735T26M503,ROYAOJN,20180603052400,D,1,U,  ,20180603052300,52417
731Y22M503,STHALL,20180603052300,D,0,U,4,20180603052300,52425
735T26M503,PADTON,20180603052600,T,2,U,8,20180603052400,52454
731Y22M503,WEALING,20180603052600,A,1, ,  ,20180603052500,52528
731T24M503,HTRWAPT,20180603052600,A,1,D,1,20180603052530,52538
735T04M503,OLDOEMU,20180603052500,D,9,U,  ,20180603051600,52557
731Y22M503,WEALING,20180603052500,D,0,U,4,20180603052500,52557
731Y22M503,EALINGB,20180603052600,A,0, ,  ,0,52623
732T02M503,STHALL,20180603052500,D,1,D,3,20180603052430,52623
731Y22M503,EALINGB,20180603052600,D,0, ,  ,0,52632
731Y22M503,ACTONW,20180603052700,D,1,U,  ,20180603052600,52653
731T25M503,PADTON,20180603052600,D,1,D,7,20180603052500,52709
731Y23M503,HTRWTM5,20180603052700,D,0,U,4,20180603052700,52714
732T02M503,HAYESAH,20180603052800,A,1,D,3,20180603052730,52756
731T25M503,ROYAOJN,20180603052700,D,1,D,  ,20180603052600,52804
731T24M503,HTRWAPT,20180603052700,D,-1,D,1,20180603052800,52813
731T25M503,PRTOBJP,20180603052800,D,1,D,  ,20180603052700,52832
735T04M503,LDBRKJ,20180603052900,D,1,U,R ,20180603052800,52845
732T03M503,PADTON,20180603052800,D,1,D,14,20180603052700,52850
731T25M503,LDBRKJ,20180603052900,D,1,D,  ,20180603052800,52912
731Y23M503,HTRWAPT,20180603053000,A,0,U,2,20180603053030,52924
732T03M503,ROYAOJN,20180603052900,D,1,D,  ,20180603052800,53002
732T02M503,HAYESAH,20180603052900,D,1,D,3,20180603052830,53002
732T02M503,HTRWAJN,20180603053000,D,1,D,  ,20180603052930,53002
735T04M503,ROYAOJN,20180603053000,D,0,U,  ,20180603053000,53011
731T24M503,HTRWTM5,20180603053100,T,-1,D,4,20180603053200,53015
732T03M503,PRTOBJP,20180603053000,D,1,D,  ,20180603052900,53029
731Y22M503,LDBRKJ,20180603053100,D,1,U,R ,20180603053000,53056
732T03M503,LDBRKJ,20180603053100,D,1,D,  ,20180603053000,53101
735T04M503,PADTON,20180603053200,T,1,U,14,20180603053100,53101
732T02M503,HTRWTJN,20180603053100,D,-1,D,  ,20180603053200,53131
731Y22M503,PRTOBJP,20180603053200,D,1,U,  ,20180603053100,53204
731Y23M503,HTRWAPT,20180603053100,D,-1,U,2,20180603053230,53204
731Y22M503,ROYAOJN,20180603053200,D,0,U,  ,20180603053200,53231
731T25M503,ACTONW,20180603053200,D,1,D,  ,20180603053100,53231
731T25M503,EALINGB,20180603053300,A,0, ,  ,0,53310
731Y22M503,PADTON,20180603053400,T,1,U,7,20180603053300,53310
731T25M503,EALINGB,20180603053300,D,0, ,  ,0,53336
732T03M503,ACTONW,20180603053400,D,1,D,  ,20180603053300,53431
731Y23M503,HTRWTJN,20180603053400,D,-1,U,  ,20180603053530,53431
